id / nom / pv /atk / def / akt spé / def spé / spd / ev / type1 /type2
1 / Bulbizarre / 45 / 49 / 49 / 65 /65 / 45 / 0 / 0 / 0 / 1 / 0 / 0 / plante / posion
78 / Galopa / 65 / 100 / 70 / 80 / 80 / 105 / 0 / 0 / 0 / 0 / 0 / 2 / feu / none
79 / Ramoloss / 90 / 65 / 65 / 40 / 40 / 15 / 1 / 0 / 0 / 0 / 0 / 0 / eau / psy
80 / Flagadoss / 95 / 75 / 110 / 100 / 80 / 30 / 0 / 0 / 2 / 0 / 0 / 0 / eau / psy
81 / Magnéti / 25 / 35 / 70 / 95 / 55 / 45 / 0 / 0 / 0 / 1 / 0 / 0 / acier / electrik
82 / Magnéton / 50 / 60 / 95 / 120 / 70 / 70 / 0 / 0 / 0 / 2 / 0 / 0 / acier / electrik
83 / Canarticho / 52 / 90 / 55 / 58 / 62 / 60 / 0 / 1 / 0 / 0 / 0 / 0 / normal / vol
84 / Doduo / 35 / 85 / 45 / 35 / 35 / 75 / 0 / 1 / 0 / 0 / 0 / 0 / normal / vol
85 / Dodrio / 60 / 110 / 70 / 60 / 60 / 110 / 0 / 2 / 0 / 0 / 0 / 0 / normal / vol
86 / Otaria / 65 / 45 / 55 / 45 / 70 / 45 / 0 / 0 / 0 / 0 / 1 / 0 / eau / none
87 / Lamantine / 90 / 70 / 80 / 70 / 95 / 70 / 0 / 0 / 0 / 0 / 2 / 0 / eau / none
88 / Tadmorv / 80 / 80 / 50 / 40 / 50 / 25 / 1 / 0 / 0 / 0 / 0 / 0 / poison / none
89 / Grotadmorv / 105 / 105 / 75 / 65 / 100 / 50 / 1 / 1 / 0 / 0 / 0 / 0 / poison / none
90 / Kokiyas / 30 / 65 / 100 / 45 / 25 / 40 / 0 / 0 / 1 / 0 / 0 / 0 / eau / none
91 / Crustabri / 50 / 95 / 180 / 85 / 45 / 70 / 0 / 0 / 2 / 0 / 0 / 0 / eau / glace
92 / Fantominus / 30 / 35 / 30 / 100 / 35 / 80 / 0 / 0 / 0 / 1 / 0 / 0 / poison / spectre
93 / Spectrum / 45 / 50 / 45 / 115 / 55 / 95 / 0 / 0 / 0 / 2 / 0 / 0 / poison / spectre
94 / Ectoplasma / 60 / 65 / 60 / 130 / 75 / 110 / 0 / 0 / 0 / 3 / 0 / 0  / poison / spectre
95 / Onix / 35 / 45 / 160 / 30 / 45 / 70 / 0 / 0 / 1 / 0 / 0 / 0 / roche / sol
96 / Soporifik / 60 / 48 / 45 / 43 / 90 / 42 / 0 / 0 / 0 / 0 / 1 / 0 / psy / none
97 / Hypnomade / 85 / 73 / 70 / 73 / 115 / 67 / 0 / 0 / 0 / 0 / 2 / 0 / psy / none
98 / Krabby / 30 / 105 / 90 / 25 / 25 / 50 / 0 / 1 / 0 / 0 / 0 / 0 / eau / none
99 / Krabboss / 55 / 130 / 115 / 50 / 50 / 75 / 0 / 2 / 0 / 0 / 0 / 0 / eau / none
100 / Voltorbe / 40 / 30 / 50 / 55 / 55 / 100 / 0 / 0 / 0 / 0 / 0 / 1 / electrik / none
101 / Électrode / 60 / 50 / 70 / 80 / 80 / 150 / 0 / 0 / 0 / 0 / 0 / 2 / electrik / none
102 / Noeunoeuf / 60 / 40 / 80 / 60 / 45 / 40 / 0 / 0 / 1 / 0 / 0 / 0 / plante / psy
103 / Noadkoko / 95 / 95 / 85 / 125 / 75 / 55 / 0 / 0 / 0 / 2 / 0 / 0 / plante / psy
104 / Osselait / 50 / 50 / 95 / 40 / 50 / 35 / 0 / 0 / 1 / 0 / 0 / 0 / sol / none
105 / Ossatueur / 60 / 80 / 110 / 50 / 80 / 45 / 0 / 0 / 2 / 0 / 0 / 0 / sol / none
106 / Kicklee / 50 / 120 / 53 / 35 / 110 / 87 / 0 / 2 / 0 / 0 / 0 / 0 / combat / none
107 / Tygnon / 50 / 105 / 79 / 35 / 110 / 76 / 0 / 0 / 0 / 0 / 2 / 0 / combat / none
108 / Excelangue / 90 / 55 / 75 / 60 / 75 / 30 / 2 / 0 / 0 / 0 / 0 / 0 / normal / none
109 / Smogo / 40 / 65 / 95 / 60 / 45 / 35 / 0 / 0 / 1 / 0 / 0 / 0 / poison / none
110 / Smogogo / 65 / 90 / 120 / 85 / 70 / 60 / 0 / 0 / 2 / 0 / 0 / 0 / poison / none
111 / Rhinocorne / 80 / 85 / 95 / 30 / 30 / 25 / 0 / 0 / 1 / 0 / 0 / 0 / sol / roche
112 / Rhinoféros / 105 / 130 / 120 / 45 / 45 / 40 / 0 / 2 / 0 / 0 / 0 / 0 / sol / roche
113 / Leveinard / 250 / 5 / 5 / 35 / 105 / 50 / 2 / 0 / 0 / 0 / 0 / 0 / normal / none
114 / Saquedeneu / 65 / 55 / 115 / 100 / 40 / 60 / 0 / 0 / 1 / 0 / 0 / 0 / plante / none
115 / Kangourex / 105 / 95 / 80 / 40 / 80 / 90 / 2 / 0 / 0 / 0 / 0 / 0 / normal / none
116 / Hypotrempe / 30 / 40 / 70 / 70 / 25 / 60 / 0 / 0 / 0 / 1 / 0 / 0 / eau / none
117 / Hypocéan / 55 / 65 / 95 / 95 / 45 / 85 / 0 / 0 / 1 / 1 / 0 / 0 / eau / none
118 / Poissirène / 45 / 67 / 60 / 35 / 50 / 63 / 0 / 1 / 0 / 0 / 0 / 0 / eau / none
119 / Poissoroy / 80 / 92 / 65 / 65 / 80 / 68 / 0 / 2 / 0 / 0 / 0 / 0 / eau / none
120 / Stari / 30 / 45 / 55 / 70 / 55 / 85 / 0 / 0 / 0 / 0 / 0 / 1 / eau / none
121 / Staross / 60 / 75 / 85 / 100 / 85 / 115 / 0 / 0 / 0 / 0 / 0 / 2 / eau / psy
122 / M. Mime / 40 / 45 / 65 / 100 / 120 / 90 / 0 / 0 / 0 / 0 / 2 / 0 / psy / none
123 / Insécateur / 70 / 110 / 80 / 55 / 80 / 105 / 0 / 1 / 0 / 0 / 0 / 0 / insecte / vol
124 / Lippoutou / 65 / 50 / 35 / 115 / 95 / 95 / 0 / 0 / 0 / 2 / 0 / 0 / glace / psy
125 / Élektek / 65 / 83 / 57 / 95 / 85 / 105 / 0 / 0 / 0 / 0 / 0 / 2 / electrik / none
126 / Magmar / 65 / 95 / 57 / 100 / 85 / 93 / 0 / 0 / 0 / 2 / 0 / 0 / feu / none
127 / Scarabrute / 65 / 125 / 100 / 55 / 70 / 85 / 0 / 2 / 0 / 0 / 0 / 0 / insecte / none
128 / Tauros / 75 / 100 / 95 / 40 / 70 / 110 / 0 / 1 / 0 / 0 / 0 / 1 / normal / none
129 / Magicarpe / 20 / 10 / 55 / 15 / 20 / 80 / 0 / 0 / 0 / 0 / 0 / 1 / eau / none
130 / Léviator / 95 / 125 / 79 / 60 / 100 / 81 / 0 / 2 / 0 / 0 / 0 / 0 / eau / vol
131 / Lokhlass / 130 / 85 / 80 / 85 / 95 / 60 / 2 / 0 / 0 / 0 / 0 / 0 / eau / glace
132 / Métamorph / 48 / 48 / 48 / 48 / 48 / 48 / 1 / 0 / 0 / 0 / 0 / 0 / normal / none
133 / Évoli / 55 / 55 / 50 / 45 / 65 / 55 / 0 / 0 / 0 / 0 / 1 / 0 / normal / none
134 / Aquali / 130 / 65 / 60 / 110 / 95 / 65 / 2 / 0 / 0 / 0 / 0 / 0 / eau / none
135 / Voltali / 65 / 65 / 60 / 110 / 95 / 130 / 0 / 0 / 0 / 0 / 0 / 2 / electrik / none
136 / Pyroli / 65 / 130 / 60 / 95 / 110 / 65 / 0 / 2 / 0 / 0 / 0 / 0 / feu / none
137 / Porygon / 65 / 60 / 70 / 85 / 75 / 40 / 0 / 0 / 0 / 1 / 0 / 0 / normal / none
138 / Amonita / 35 / 40 / 100 / 90 / 55 / 35 / 0 / 0 / 1 / 0 / 0 / 0 / roche / eau
139 / Amonistar / 70 / 60 / 125 / 115 / 70 / 55 / 0 / 0 / 2 / 0 / 0 / 0 / roche / eau
140 / Kabuto / 30 / 80 / 90 / 55 / 45 / 55 / 0 / 0 / 1 / 0 / 0 / 0 / roche / eau
141 / Kabutops / 60 / 115 / 105 / 65 / 70 / 80 / 0 / 2 / 0 / 0 / 0 / 0 / roche / eau
142 / Ptéra / 80 / 105 / 65 / 60 / 75 / 130 / 0 / 0 / 0 / 0 / 0 / 2 / roche / vol
143 / Ronflex / 160 / 110 / 65 / 65 / 110 / 30 / 2 / 0 / 0 / 0 / 0 / 0 / normal / none
144 / Artikodin / 90 / 85 / 100 / 95 / 125 / 85 / 0 / 0 / 0 / 0 / 3 / 0 / vol / glace
145 / Électhor / 90 / 90 / 85 / 125 / 90 / 100 / 0 / 0 / 0 / 3 / 0 / 0 / vol / electrik
146 / Sulfura / 90 / 100 / 90 / 125 / 85 / 90 / 0 / 0 / 0 / 3 / 0 / 0 / vol / feu 
147 / Minidraco / 41 / 64 / 45 / 50 / 50 / 50 / 0 / 1 / 0 / 0 / 0 / 0 / dragon / none
148 / Draco / 61 / 84 / 65 / 70 / 70 / 70 / 0 / 2 / 0 / 0 / 0 / 0 / dragon / none
149 / Dracolosse / 91 / 134 / 95 / 100 / 100 / 80 / 0 / 3 / 0 / 0 / 0 / 0 / dragon / vol
150 / Mewtwo / 106 / 110 / 90 / 154 / 90 / 130 / 0 / 0 / 0 / 3 / 0 / 0 / psy / none
151 / Mew / 100 / 100 / 100 / 100 / 100 / 100 / 3 / 0 / 0 / 0 / 0 / 0 / psy / none
